TABLE_SCHEMA,TABLE_NAME,EntityReferenceSimpleFullPath,Result,IsTop,PKTypeFullName,PKPropertyName,FKTypeFullName,FKPropertyName,FKName,FKAlias,PropertyName_Origin_InThisType,ChildEntityReferenceSimpleFullPath,BottomChildTypeName,BottomChildEntityReferenceSimpleFullPath,EntityReferenceFullPath,EntityReferenceForeignKeyPath,EntityReferenceResultType,IsJoinFromPKToFK,DefaultOrder,FKTypeFullNameOnTheOtherSide,CreatedDate
dbo,ELMAH_Error,\Application,Application,True,ElmahModel.ElmahApplication,Application,ElmahModel.ElmahError,Application,FK_ELMAH_Error_ElmahApplication,t,Application,,ElmahApplication,\Application,\ElmahModel.ElmahError.Application,\FK_ELMAH_Error_ElmahApplication,DownTree,False,1,,1/1/0001 12:00:00 AM
dbo,ELMAH_Error,\Host,Host,True,ElmahModel.ElmahHost,Host,ElmahModel.ElmahError,Host,FK_ELMAH_Error_ElmahHost,t,Host,,ElmahHost,\Host,\ElmahModel.ElmahError.Host,\FK_ELMAH_Error_ElmahHost,DownTree,False,1,,1/1/0001 12:00:00 AM
dbo,ELMAH_Error,\Source,Source,True,ElmahModel.ElmahSource,Source,ElmahModel.ElmahError,Source,FK_ELMAH_Error_ElmahSource,t,Source,,ElmahSource,\Source,\ElmahModel.ElmahError.Source,\FK_ELMAH_Error_ElmahSource,DownTree,False,1,,1/1/0001 12:00:00 AM
dbo,ELMAH_Error,\StatusCode,StatusCode,True,ElmahModel.ElmahStatusCode,StatusCode,ElmahModel.ElmahError,StatusCode,FK_ELMAH_Error_ElmahStatusCode,t,StatusCode,,ElmahStatusCode,\StatusCode,\ElmahModel.ElmahError.StatusCode,\FK_ELMAH_Error_ElmahStatusCode,DownTree,False,1,,1/1/0001 12:00:00 AM
dbo,ELMAH_Error,\Type,Type,True,ElmahModel.ElmahType,Type,ElmahModel.ElmahError,Type,FK_ELMAH_Error_ElmahType,t,Type,,ElmahType,\Type,\ElmahModel.ElmahError.Type,\FK_ELMAH_Error_ElmahType,DownTree,False,1,,1/1/0001 12:00:00 AM
dbo,ELMAH_Error,\User,User,True,ElmahModel.ElmahUser,User,ElmahModel.ElmahError,User,FK_ELMAH_Error_ElmahUser,t,User,,ElmahUser,\User,\ElmahModel.ElmahError.User,\FK_ELMAH_Error_ElmahUser,DownTree,False,1,,1/1/0001 12:00:00 AM
